Model|Stamp|Lower|Upper|Solver_Time|Overall_Time|Solver_Info|Method
model1_LPV4D|2020.04.13. Monday 20:02:25 id:2350|0|2.50069044501004|3.763568|10.814598|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D|2020.04.13. Monday 20:06:34 id:2350|0|2.69285796471826|234.993388|247.827262|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D|2020.04.13. Monday 20:07:14 id:2350|0|2.82033877316899|0|38.988533|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D|2020.04.13. Monday 20:08:30 id:2350|0|2.81884398630243|0|74.923081|tvreal, lpvnorm|LPVTools - LFT/IQC
model1_LPV4D|2020.04.13. Monday 20:10:03 id:2350|2.02851105805651|2.81884398630243|0|93.115172|tvreal, lpvwcgain|LPVTools - LFT/IQC
model1_LPV4D|2020.04.13. Monday 20:41:22 id:2350|0|2.37246558356987|1823.517395|1879.177951|Successfully solved (MOSEK)|Polytopic a. with Finsler (old)
model1_LPV4D|2020.04.13. Monday 21:05:38 id:2350|0|2.37250963593153|1394.224726|1455.079271|Successfully solved (MOSEK)|Polytopic a. with Finsler
model1_LPV4D|2020.04.13. Monday 21:09:59 id:2351|0|2.68133181557627|3.708297|11.842799|5x5x5, Successfully solved (MOSEK)|Req grid for T=Inf, delta=0: InfxInfxInf (Wu, 1995)
model1_LPV4D|2020.04.13. Monday 21:14:05 id:2351|0|2.78009235130869|230.543613|244.442347|Successfully solved (MOSEK)|Descriptor - dual explicit LMI form
model1_LPV4D|2020.04.13. Monday 21:14:45 id:2351|0|2.82026959237618|0|39.904897|Pole: [-1 -1 -1], Length: [2  2  2], Relax: 1, Active: 1|IQCToolbox - ltvs
model1_LPV4D|2020.04.13. Monday 21:16:13 id:2351|0|2.81924566906359|0|87.337428|tvreal, lpvnorm|LPVTools - LFT/IQC
